HLS,lambda,trainError,testError
5000,10,0.4919923475521525,0.8766647372280354
5000,1,0.3066180776572521,0.6946254846173471
1000,0.1,0.3713154330249729,0.8761420145270179
1000,1,0.39808966682848096,0.8389626733478206
1000,10,0.8158553622805194,1.1680760793937657
100,0.01,0.0033174326627694217,0.4319982420141728
100,0.03,0.004167007853288171,0.28809841258811686
100,0.1,0.004989605330035721,0.23376916471559372
100,0.3,0.01129974605794312,0.16088135233294285
100,1,0.03354026799879784,0.1679000522423065
100,3,0.06737388960316268,0.23365564945296033
100,10,0.15266218887358568,0.3327550263387619
100,30,0.44911408374908857,0.6604174680831769
100,100,1.2565056616962655,1.4607096998951155
50,0,0.005243735641351043,0.5092003860489694
50,0.01,0.04169435682927594,0.31850745831547217
50,0.03,0.01163522253107431,0.3650612314512381
50,0.1,0.024696570679591016,0.40398801611335217
50,0.3,0.021898098310110335,0.29976354765657526
50,1,0.0664274811046541,0.2726567632330332
50,3,0.09029094186250418,0.2669961794160561
50,10,0.33095722951536505,0.5455630708855441
50,30,0.6264083796113746,0.8400902999370247
50,100,1.4858897093296557,1.6614476102087303
250,0,3.2286200309629203e-05,0.16268944264677213
250,0.01,0.0007868760834241178,0.2552926259823127
250,0.03,0.0015346503775740647,0.4009771609278067
250,0.1,0.0059542486497069615,0.2056629403540869
250,0.3,0.013074291948827418,0.259243096710688
250,1,0.018964149604596157,0.18651888094415034
250,3,0.055859901850982434,0.22207470619106706
250,10,0.1288033102193752,0.3154425431827973
250,30,0.3480978406481393,0.5766819454661937
250,100,1.1132443917813946,1.3351022824288297
1000,0,0.001456931488208492,0.1881701353974884
5000,0,0.00046457179227695606,0.21600343392483226
100,0,0.00022267824337343046,0.5730095722598404
10,0,2.7305845766646453,2.8496403190226696
25,0,0.5259756940667624,1.4595555257450052
75,0,0.002520255840335481,0.8912319684518224
150,0,0.0014069390168878284,0.69342311140202
